D002200.txt	0	OverallSentimentClass:Negative	VeryPositive:1.0	Positive:4.0	Neutral:28.0	Negative:59.0	VeryNegative:9.0
D013214.txt	0	OverallSentimentClass:Negative	VeryPositive:3.0	Positive:5.0	Neutral:15.0	Negative:62.0	VeryNegative:15.0
D013214.txt	1	OverallSentimentClass:Neutral	VeryPositive:4.0	Positive:22.0	Neutral:47.0	Negative:22.0	VeryNegative:4.0
D054629.txt	0	OverallSentimentClass:Neutral	VeryPositive:2.0	Positive:11.0	Neutral:45.0	Negative:37.0	VeryNegative:5.0
D002787.txt	0	OverallSentimentClass:Negative	VeryPositive:3.0	Positive:4.0	Neutral:13.0	Negative:59.0	VeryNegative:22.0
D017486.txt	0	OverallSentimentClass:Negative	VeryPositive:2.0	Positive:6.0	Neutral:23.0	Negative:60.0	VeryNegative:10.0
D017486.txt	1	OverallSentimentClass:Negative	VeryPositive:7.0	Positive:16.0	Neutral:25.0	Negative:40.0	VeryNegative:12.0
D000329.txt	0	OverallSentimentClass:Negative	VeryPositive:1.0	Positive:4.0	Neutral:27.0	Negative:59.0	VeryNegative:9.0
D000329.txt	1	OverallSentimentClass:Negative	VeryPositive:1.0	Positive:3.0	Neutral:31.0	Negative:57.0	VeryNegative:9.0
D001587.txt	0	OverallSentimentClass:Negative	VeryPositive:2.0	Positive:4.0	Neutral:23.0	Negative:57.0	VeryNegative:14.0
D001587.txt	1	OverallSentimentClass:Negative	VeryPositive:3.0	Positive:10.0	Neutral:26.0	Negative:51.0	VeryNegative:11.0
D014856.txt	0	OverallSentimentClass:Positive	VeryPositive:10.0	Positive:30.0	Neutral:24.0	Negative:28.0	VeryNegative:8.0
D014856.txt	1	OverallSentimentClass:Negative	VeryPositive:1.0	Positive:6.0	Neutral:33.0	Negative:51.0	VeryNegative:8.0
D027621.txt	0	OverallSentimentClass:Positive	VeryPositive:5.0	Positive:76.0	Neutral:18.0	Negative:1.0	VeryNegative:0.0
